"Dept","Course num","Section num","Prof","Title","Author","ISBN","Status"
"CMPE","100","01","-","Fundamentals Of Digital Logic W/Verilog Design Ed: 3 Rd Yr: 2014","Brown","9780073380544","Pick One",
"CMPE","100","01","-","Ucsc Custom   Logic Design For Cmpe 100 Ed: 1 St","Brown","9781308394329","Pick One",
"CMPE","107","01","GARCIA-LUNA-ACEVES","Intro To Probability Ed: 2 Nd Yr: 2008","Bertsekas","9781886529236","Required",
"CMPE","115","01","TEODORESCU","Cmpe 115 Ucsc Custom Ed: 1 St","Beer","9781308080130","Required",
"CMPE","122","01","GUTHAUS","Digital Integrated Circuits Ed: 2 Nd Yr: 2003","Rabaey","9780130909961","Required",
"CMPE","153","01","DOWLA","Dsp First Ed: 2 Nd Yr: 2015","Mcclellan","9780136019251","Required",
"CMPE","222","01","GUTHAUS","Digital Integrated Circuits Ed: 2 Nd Yr: 2003","Rabaey","9780130909961","Required",
"CMPS","005J","01","DA CAMARA","Learning Processing Ed: 2 Nd Yr: 2015","Shiffman","9780123944436","Required",
"CMPS","011","01","MCDOWELL","Java By Dissection  2 Nd Edition Required Ed: 2 Nd Yr: 2006","Pohl","9781411652385","Required",
"CMPS","012A","01","BAILEY","Java By Dissection  2 Nd Edition Required Ed: 2 Nd Yr: 2006","Pohl","9781411652385","Required",
"CMPS","012B","01","TANTALO","Data Abstraction & Problem Solving W/Java Ed: 1 St Yr: 2001","Carrano","9780201702200","Recommended",
"CMPS","102","01","WARMUTH","Algorithm Design Ed: 1 St Yr: 2006","Kleinberg","9780321295354","Required",
"CMPS","109","01","MACKEY","Programming Ed: 2 Nd Yr: 2014","Stroustrup","9780321992789","Required",
"CMPS","111","01","MILLER","Modern Operating Systems Ed: 4 Th Yr: 2015","Tanenbaum","9780133591620","Required",
"CMPS","128","01","OLVARO","Distributed Systems Ed: 5 Th Yr: 2012","Coulouris","9780132143011","Required",
"CMPS","130","01","TANTALO","Intro To Languages & Theory Of Computation**Used Only* Ed: 4 Th Yr: 2011","Martin**Out Of Print","9780073191461","Required",
"CMPS","160","01","PANG","Interactive Computer Graphics Ed: 7 Th Yr: 2015","Angel","9780133574845","Required",
"CMPS","160","01","PANG","Webgl Programming Guide Ed: 1 St Yr: 2013","Matsuda","9780321902924","Required",
"CMPS","181","01","FINKELSTEIN","Database Management Systems Ed: 3 Rd Yr: 2003","Ramakrishnan","9780072465631","Required",
"CMPS","217","01","KOLAITIS","Logic For Computer Scientists Ed: 1 St Yr: 1989","Schoning","9780817647629","Required",
"COWL","052","01","KELLY","Economix Ed: 1 St Yr: 2012","Goodwin","9780810988392","Required",
"COWL","052","01","KELLY","Get A Financial Life Completely Completely Rev & Uptd Ed: 1 St Yr: 2009","Kobliner","9780743264365","Required",
"CRES","190","01","PORTER","Reorder Of Things Ed: 1 St Yr: 2012","Ferguson","9780816672790","Required",
"CRWN","038","01","MANN","Leadership For A Better World Ed: 1 St Yr: 2009","Komives","9780470449493","Required",
"EART","001","01","GRIGGS","Ebook 1 Term Oceanography 9 Th Edition Ed: 9 Th","Garrison Eart 001 2016","9781337252843","Required",
"EART","008","01","ZHANG","Cosmic Perspective W/ Mastering Astronomy (Bundle) Ed: 7 Th Yr: 2014","Bennet *Package","9780321931498","Pick One",
"EART","008","01","ZHANG","Mastering Astronomy With Etext Access Card Ed: 7 Th Yr: 2014","Bennett/Cosmic Perspective","9780321840936","Pick One",
"EART","020","01","TULACZYK","Iclicker + Ed: 2 Nd Yr: 2013","Mps/2014","9781464120152","Required",
"EART","020","01","TULACZYK","Environmental Geology Ed: 1 St","Montgomery","9780078158865","Pick One",
"EART","020","01","TULACZYK","Environmental Geology Ed: 8 Th Yr: 2008","Montgomery","9780072826913","Pick One",
"EART","020","01","TULACZYK","Environmental Geology Ed: 8 Th Yr: 2008","Montgomery","9780077216054","Pick One",
"EART","020","01","TULACZYK","Environmental Geology Ed: 9 Th Yr: 2011","Montgomery","9780073524085","Pick One",
"EART","020L","01","TULACZYK","Investigations In Environmental Geology Ed: 3 Rd Yr: 2009","Foley","9780131420649","Recommended",
"EART","110C","01","KORNBERG","Geodynamics Ed: 3 Rd Yr: 2014","Turcotte","9780521186230","Required",
"EART","146","01","FISHER","Applied Hydrogeology (W/Cd) Ed: 4 Th Yr: 2001","Fetter","9780130882394","Required",
"EART","146","01","FISHER","Groundwater Ed: 1 St Yr: 1979","Freeze","9780133653120","Optional",
"EART","163","01","NIMMO","Planetary Surface Processes Ed: 1 St Yr: 2011","Melosh","9780521514187","Required",
"ECON","001","01","FUNG","Micro 4 Ed Loose Leaf W/ Sapling Ed: 4 Th","Krugman Econ 001","9781319042455","Required",
"ECON","002","01","SHENOY","Iclicker+ With 6 Month Access Ed: 1 St","Mps","9781498601641","Required",
"ECON","002","01","SHENOY","Modern Principles: Macroeconomics Ed: 3 Rd Yr: 2015","Cowen","9781429278409","Recommended",
"ECON","010B","01","MULLIN","Horngren's Financial & Managerial Looseleaf W/ Econ 010 A&B Ed: 5 Th Yr: 2015","Miller W/My Accountinglab W Eb","9780134078908","Pick One",
"ECON","010B","01","MULLIN","Horngren's Managerial Only Chapters, Loose Leaf W/Access Ed: 1 St","Miller Noblesw/My Accounting","9780134511924","Pick One",
"ECON","010B","01","MULLIN","Horngren's My Accountinglab W/Etext Ed: 5 Th Yr: 2014","Access Code Only","9780133877601","Pick One",
"ECON","011A","01","KATZNELSON","Intro Mathematical Analysis For Bus, Econ (Ucsc Custom) Ed: 13 Th Yr: 2011","Haeussler","9780558776961","Required",
"ECON","011B","01","KATZNELSON","Intro Mathematical Analysis For Bus, Econ (Ucsc Custom) Ed: 13 Th Yr: 2011","Haeussler","9780558776961","Required",
"ECON","100A","01","SAHA","Myeconlab W/Etext Access Code (New Only) Microeconomics Ed: 8 Th Yr: 2012","Pindych/Rubinfeld","9780132914659","Recommended",
